리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,토큰화된리뷰
매장도 넓고 음식도 맛있네요,양식,"['넓다', '맛있다']",넓다 맛있다,넓다 맛있다,1,"[16, 1]"
음로가 맛있고 뷰도 조아요,카페,"['맛있다', '좋다']",맛있다 좋다,맛있다 좋다,1,"[1, 2]"
너무 깔끔하고 맛있어요눈으로 먼저 먹고 입으로도 먹었네요다음에 재방문 의사 있습니다,일식,"['깔끔하다', '맛있다', '있다']",깔끔하다 맛있다 있다,깔끔하다 맛있다 있다,1,"[15, 1, 4]"
울산에 괜찮은 식당이 꽤 있는데 이곳이 울산 맛집이라고 하기에는 아쉬움이 많습니다 인테리어가 구식이라던지 하는 것은 오래된 업장이라 그럴 수 있다고 봅니다 인당 만원 짜리라고 하기에는 서비스 친절도 음식질 모든 면에서 빵점입니다제가 서비스 받은 모든 음식은 일단 신선도가 너무 떨어져서 맛이 없었습니다 같이 간 일행은 남은 회를 다시 준 것일 수도 있다고 할 정도였어요 물론 다시 준 것은 아니겠지만 그 정도로 신선도가 떨어졌습니다 야채칠리볶음에 들어 있는 홍합은 먹을 수가 없을 정도였어요 첫 음식이 나오고 본 음식인 랍스타가 나오기까지 분 걸렸습니다 언제 나오냐 물으니까 랍스터 삶는데 분 치즈 얹어서 분 더 요리한다고 하네요 첫 음식 먹고 분 넘게 그냥 앉아 있었어요 파리랑 날파리,해산물,"['괜찮다', '있다', '많다', '오래되다', '그렇다', '있다', '이다', '없다', '있다', '아니다', '있다', '없다', '있다']",괜찮다 있다 많다 오래되다 그렇다 있다 이다 없다 있다 아니다 있다 없다 있다,괜찮다 있다 많다 오래되다 그렇다 있다 이다 없다 있다 아니다 있다 없다 있다,0,"[17, 4, 8, 130, 12, 4, 11, 3, 4, 6, 4, 3, 4]"
인스타 등 맛집 리뷰 보고 금요일 시 좀 넘어서 방문했습니다 솔직 리뷰 할게요정통 중국요리 생각하시면 조금은 실망하실 수도 있습니다 요리로 추정해보면 주방장이 중국분은 아닌 것 같고 대분분의 요리가 퓨전식입니다깐풍가지는 중국식 가지튀김은 아니고 한번 튀김옷을 입혀서 고추기름 등에 튀깁니다 기대한 맛은 아니지만 매꼼쌉싸름한게 나름 괜찮습니다돼지고기볶음면도 정통중국식 면볶음은 아니고 굴소스 기반 볶음면이고 면은 수타인지 모르겠으나 쫄깃하고 괜찮았습니다 쫄깃한 우동면 비슷합니다사천마파두부는 나쁘지 않은데 약간 스튜 같은 느낌이에요 감자전분 들어간 느낌 맛은 있는데 정통 마파두부는 아니에요그리고 테이블이 개에요 대기 감안하셔야해요,퓨전,"['실망하다', '있다', '아니다', '같다', '이다', '아니다', '기대하다', '아니다', '쌉싸름하다', '괜찮다', '아니다', '괜찮다', '비슷하다', '나쁘다', '같다', '있다', '아니다', '야하다']",실망하다 있다 아니다 같다 이다 아니다 기대하다 아니다 쌉싸름하다 괜찮다 아니다 괜찮다 비슷하다 나쁘다 같다 있다 아니다 야하다,실망하다 있다 아니다 같다 이다 아니다 기대하다 아니다 쌉싸름하다 괜찮다 아니다 괜찮다 비슷하다 나쁘다 같다 있다 아니다 야하다,0,"[43, 4, 6, 5, 11, 6, 61, 6, 17, 6, 17, 159, 18, 5, 4, 6, 31]"
인테리어도 예쁘고 자리도 괜찮았어요 음식들도 대부분 평범하게 맛있었지만 중화요리가 좀 많이 짰어요 디저트 종류가 많고 맛있었어요꽤 느끼한 음식들이 있어서 탄산음료가 있었으면 좋았을텐데 대신 차나 쥬스종류가 많았거나 탄산수가 있었더라면 좋았을거같아요 금요일 저녁에는 생각보다 사람이 그렇게 많지않아 편하게 식사했어요,양식,"['예쁘다', '괜찮다', '평범하다', '맛있다', '많다', '맛있다', '느끼하다', '있다', '있다', '좋다', '많다', '있다', '좋다', '같다', '많다', '편하다']",예쁘다 괜찮다 평범하다 맛있다 많다 맛있다 느끼하다 있다 있다 좋다 많다 있다 좋다 같다 많다 편하다,예쁘다 괜찮다 평범하다 맛있다 많다 맛있다 느끼하다 있다 있다 좋다 많다 있다 좋다 같다 많다 편하다,1,"[28, 17, 121, 1, 8, 1, 26, 4, 4, 2, 8, 4, 2, 5, 8, 21]"
무난한 맛에 분위기 맛집이네요 또 아이들 식기가 잘 갖춰져 있네요 가격은 좀 비싸요,한식,"['있다', '비싸다']",있다 비싸다,있다 비싸다,0,"[4, 9]"
참 살다 살다 이런 거지 같은곳은 처음 입니다 주말이라 바쁜건 이해하지만 불러도 안와 음식도 계속 달라고 몇번을 말해야하고 예약을 하고 갔는데도 예약했다고 몇번을 말해도 안듣고 네이버 예약혜택들도 하나도 적용해주시지 않았고 불친절하고 컵이 깨져서 나와서 입을 살짝 긁혔는데 사장님께 이야기 하니 보지도 않고 노룩 멘트 네바꿔드릴께요사람이라면 괜찮으세요 어디 다친데는 없는지 물어봐야하는거 아닌가요 최악의 식사자리였습니다 네이버 예약혜택 하나도 못받았구요 음식도 가격대비 좀떨어짐 다시는 안감 비추입니다 솔직히 말하면 사장님 마인드가 니들 안와도 장사 잘되니까 먹고 갈꺼면 먹고 가고 싫음 말어 이런느낌 ㅠ 명이 가서 만원이 넘는 돈을 내고 밥을 먹는데 저런 취급당하는게 참 아무튼 비추 입니다,해산물,"['이렇다', '같다', '이다', '바쁘다', '불친절하다', '괜찮다', '없다', '야하다', '아니다', '자리다', '이다', '솔직하다', '싫다', '당하다', '이다']",이렇다 같다 이다 바쁘다 불친절하다 괜찮다 없다 야하다 아니다 자리다 이다 솔직하다 싫다 당하다 이다,이렇다 같다 이다 바쁘다 불친절하다 괜찮다 없다 야하다 아니다 자리 다 이다 솔직하다 싫다 당하다 이다,0,"[37, 5, 11, 22, 14, 17, 3, 31, 6, 82, 11, 89, 49, 146, 11]"
테이블링해서 갔는데 취소될뻔 주차가 만차가 두바퀴돌다가 겨우 주차ㅜㅜ 가게에 비해 주차장이 작은듯 맛있게 먹었어요 조금 질긴부분도 있었지만 잘먹었어요 막국수도 먹고싶었는데 인분 된장찌개밥하나로 아이와 둘이 먹으니 배가 불러서 못먹고왔네요 ㅋㅋ ,한식,"['작다', '맛있다', '있다']",작다 맛있다 있다,작다 맛있다 있다,1,"[44, 1, 4]"
오랜만에 방문했어요 해장국 맛있네요 고기양도 많고 잘먹었어요,한식,"['맛있다', '많다']",맛있다 많다,맛있다 많다,1,"[1, 8]"
뷰 좋아요 빙수 맛있어요,디저트,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
울대 근처에 분위기 있는 카페에서 분위기 잡고 과제하려고 왔는데 진짜 대성공임미다뷰며 인테리어 하며 커피며 어느하나 아쉬운게 없어요울대생이지만 이런 카페가 학교 근처에 있다는게 신기할 따름이에요 자주 와서 즐기겠습니당,카페,"['있다', '밉다', '아쉽다', '없다', '이렇다', '있다', '신기하다']",있다 밉다 아쉽다 없다 이렇다 있다 신기하다,있다 밉다 아쉽다 없다 이렇다 있다 신기하다,0,"[4, 71, 10, 3, 37, 4, 170]"
역시 소고기는 베테랑 만한데가 없는거같네요 맛 양 가격 그냥 최고입니다,한식,"['없다', '같다', '이다']",없다 같다 이다,없다 같다 이다,0,"[3, 5, 11]"
음식도 맛나고 너무 멋진 풍경에 힐링되고 소풍 온 것 같아요 ㅎ강추미리 예약하고 가면 음식도 빨리 나오고 좋아요 ,카페,"['멋지다', '같다', '좋다']",멋지다 같다 좋다,멋지다 같다 좋다,1,"[42, 5, 2]"
비싸고 직원들 불친절하고 대게도 크키가 작네요 그래도 살을 차 있더라구요그래서 그나마 별 개 ,해산물,"['비싸다', '불친절하다', '작다', '있다']",비싸다 불친절하다 작다 있다,비싸다 불친절하다 작다 있다,0,"[9, 14, 44, 4]"
사진에서 보이다시피 게장에서 검은색 지렁이 같은 게 나왔습니다 바꿔달라고 부탁했고 이런 거 상관 없다고 먹어도 된다시네요 결국 새로 쪄주셨는데 오래 돼서 그런지는 알 수 없으나 색이 아주 노란 게였어요 새로 나온 게 다리에서도 검은 알 같은거 있어서 결국 다 먹지도 못하고 남기고 나왔습니다 둘이서 초장비 음료 게딱지밥까지 해서 만원 가량 나왔고 게도 싱겁고 게맛이 안 났어요 게장 상태야 생물이니 알 수 없는거라지만 아무 지장 없다며 먹으라고 도리어 큰소리 치는 행동 참 언짢았습니다먹는 거로 장난치지 마세요,해산물,"['같다', '이렇다', '없다', '새롭다', '그렇다', '없다', '노랗다', '새롭다', '검다', '같다', '있다', '싱겁다', '없다', '없다', '언짢다']",같다 이렇다 없다 새롭다 그렇다 없다 노랗다 새롭다 검다 같다 있다 싱겁다 없다 없다 언짢다,같다 이렇다 없다 새롭다 그렇다 없다 노랗다 새롭다 검다 같다 있다 싱겁다 없다 없다 언짢다,0,"[5, 37, 3, 51, 12, 3, 51, 259, 5, 4, 52, 3, 3, 239]"
광주에 있을 때 부터 알던 맛집인데 울산에도 생겨서 너무 좋아요 너무 맛있었어요,양식,"['있다', '좋다', '맛있다']",있다 좋다 맛있다,있다 좋다 맛있다,1,"[4, 2, 1]"
더워요,디저트,['덥다'],덥다,덥다,0,[25]
첼잼 주년 기념 토마호크 지르기 느끼해서 다 못먹은건 비밀,양식,['느끼하다'],느끼하다,느끼하다,0,[26]
일단 크레이피쉬인코스 만원먹었어요코스를 좋아하는데  음식하나다먹을동안  한참을기다려야  종업원불러서 언제나오냐 물어봐야 그때서나옴매운탕 앞접시개떠먹는국자개중   접시하나빼고 위생불량 빠꾸시킴먹는동안 옆테이블명들어오니 명명 나란히 옆테이블앉힘메인메뉴 크레이피쉬 제입맛에 진짜별로였어요두마리 나왔는데 한번에주는것도아니고  한접시다먹고 있으니 크레이피쉬한접시또나옴 도저히먹기싫어 포장집에서 라연에 넣어먹을예정후식코너 아시스크림 떡하니써놓고 없음없냐물어보니 뚱한표정으로 없다하심써빙자체가 웃으며받아본적없음다먹고화장실가니 대박 먹은거토나올라함세면대곰팡이며  쓰다뚜껑없는치약무엇저런세면대위에 굳이다시는안갑니다,해산물,"['좋아하다', '나란하다', '아니다', '있다', '싫다', '없다', '없다', '뚱하다', '없다', '없다', '없다']",좋아하다 나란하다 아니다 있다 싫다 없다 없다 뚱하다 없다 없다 없다,좋아하다 나란하다 아니다 있다 싫다 없다 없다 뚱하다 없다 없다 없다,0,"[23, 6, 4, 49, 3, 3, 3, 3, 3]"
솔직히 실망했어요 예약도 쉽지않고 핫한데 같아서 다른지역에서 만나러와준 지인들과 갔는데 주차도힘들고 공간도 넓지않고 자리배치도 정신이없어요 ㅠㅠ 기대만큼은 아니네요 그리고 음식을 다른 테이블이랑 잘못 갖다주시기도했고 뭣보다 음식이 맛있었으면 다 상쇄되었을텐데 특히 플레이트는 너무 느끼하고 기름지더라구요 해쉬브라운이 기름맛이 너무 많이나고 계란프라이도 기름에 튀긴느낌 ㅠ 다시 가게될것 같진 않아요,양식,"['솔직하다', '실망하다', '같다', '힘들다', '넓다', '없다', '아니다', '맛있다', '느끼하다', '같다']",솔직하다 실망하다 같다 힘들다 넓다 없다 아니다 맛있다 느끼하다 같다,솔직하다 실망하다 같다 힘들다 넓다 없다 아니다 맛있다 느끼하다 같다,0,"[89, 43, 5, 24, 16, 3, 6, 1, 26, 5]"
맛있어서 늘 가는 곳이지만 양이 너무적어요 ㅠㅠ,한식,['맛있다'],맛있다,맛있다,1,[1]
융통성 없는곳 후 두번말하면 입아픔 분위기 맛 인테리어는 더할나위없는데 서비스 융통성 제로,카페,"['없다', '더하다', '없다']",없다 더하다 없다,없다 더하다 없다,0,"[3, 3]"
부모님이랑 식사하려고 미리 예약하고 방문했어요 분위기도 좋고 코스도 여러가지로 선택할 수 있어서 맛있게 식사 잘했어요 주말이라 사람이 많아서인지 스테이크가 잘못나왔었는데 확인 후 바로 다시 새로 가져다 주셔서 불편함은 없었어요 계산할때도 금액이 다른코스 금액으로 너무 적게 나와있어서 제가 정정해드리고 맞게 계산하고 왔어요 그 날이 좀 많이 바쁜 날이었나봐요,양식,"['좋다', '있다', '맛있다', '많다', '새롭다', '불편하다', '없다', '바쁘다']",좋다 있다 맛있다 많다 새롭다 불편하다 없다 바쁘다,좋다 있다 맛있다 많다 새롭다 불편하다 없다 바쁘다,1,"[2, 4, 1, 8, 51, 13, 3, 22]"
한 피스에 천 원꼴인 가격인데 냉동 초밥 먹는 거 같은 맛이에요 슬프네요,일식,"['같다', '슬프다']",같다 슬프다,같다 슬프다,0,"[5, 119]"
양이 정말 많아요넘나 짱,일식,['많다'],많다,많다,1,[8]
맵기 조절 가능하고 맛있어요,한식,"['가능하다', '맛있다']",가능하다 맛있다,가능하다 맛있다,1,"[93, 1]"
음식은 다 맛잇는데 직원들이 전체적으로 다 불친절한것같아요,양식,"['불친절하다', '같다']",불친절하다 같다,불친절하다 같다,0,"[14, 5]"
언제가도 최고 맛있게 먹고 갑니다,한식,['맛있다'],맛있다,맛있다,1,[1]
여사장님 안계셔서 그런지 서비스 위생 친절이 다 안되는것 같다테이블 몇개는 닦아지지도 않았고 돼지국밥 고기는 평소보다 배는 두껍고 커서 먹기불편했다장수 맛집이 사라질까봐 올려봅니다,한식,"['계시다', '그렇다', '안되다', '같다', '두껍다', '불편하다']",계시다 그렇다 안되다 같다 두껍다 불편하다,계시 다 그렇다 안되다 같다 두껍다 불편하다,0,"[63, 12, 19, 5, 178, 13]"
음많이 아쉬웠어요테이블 담당서버는 주 메뉴를 권했지만 하지 않자 응대를 대충한다는 느낌이 들만큼 목소리까지 바뀌어 응대해서 기분이 안좋았습니다,양식,"['아쉽다', '안좋다']",아쉽다 안좋다,아쉽다 안좋다,0,"[10, 67]"
직업분들도친절하시고음식종류도 많고 맛도 좋았어요,양식,"['친절하다', '많다', '좋다']",친절하다 많다 좋다,친절하다 많다 좋다,1,"[7, 8, 2]"
엄청나게 불친절하고 오픈빨로 겨우 손님 유지하는 수준입니다 다시는 안가고 싶어요 특히 와이파이 거의 안됩니다 엄청나게느리고 끊깁니다 노트북들고 절대 가지마세요 노트북 자리에도 인터넷 안되요빵값이며 커피값이며 엄청 비싼데  그닥 별로입니다,카페,"['엄청나다', '불친절하다', '이다', '안되다', '엄청나다', '느리다', '안되다', '비싸다', '이다']",엄청나다 불친절하다 이다 안되다 엄청나다 느리다 안되다 비싸다 이다,엄청나다 불친절하다 이다 안되다 엄청나다 느리다 안되다 비싸다 이다,0,"[140, 14, 11, 19, 140, 99, 19, 9, 11]"
아주아주 맛있어요,퓨전,['맛있다'],맛있다,맛있다,1,[1]
편안한분위기에   잘 먹고 갑니다,한식,['편안하다'],편안하다,편안하다,1,[142]
좋아요,카페,['좋다'],좋다,좋다,1,[2]
다른거 먹고싶다고 했는데 자꾸 블랙라벨 커플세트 추천하심부모님 실망하심,양식,"['다르다', '실망하다']",다르다 실망하다,다르다 실망하다,0,"[41, 43]"
토일요일은 코스요리 피하심이코스요리가 어디까지 나왔는지나오긴 나왔는지뭐가 나와야  되는지아는이 없고ㅠㅠ 기다리다기디리다 책자들고 얘기하고 또하니한꺼번에 나와서뭘먹은 건지뭔맛이였는지직원분들의 친절도는 최상 코스요리는 한식한상처럼 먹고왔어요 다 식어나온 가재아직도 짜증이,해산물,['없다'],없다,없다,0,[3]
